income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,dti_ratio,total_assets,asset_coverage,affordability_index
8400000,23400000,14,437,15400000,5800000,33400000,8100000,1,2.7857142857142856,62700000,2.6794871794871793,5.0256410256410255
3300000,10800000,12,797,600000,6000000,7700000,3300000,0,3.272727272727273,17600000,1.6296296296296295,3.6666666666666665
5800000,23200000,18,456,16100000,4200000,22600000,7500000,1,4.0,50400000,2.1724137931034484,4.5
600000,1600000,6,647,1500000,600000,1500000,700000,0,2.6666666666666665,4300000,2.6875,2.25
7200000,15800000,12,379,12700000,12200000,21500000,3600000,1,2.1944444444444446,50000000,3.1645569620253164,5.468354430379747
9100000,32900000,2,717,2200000,2000000,23600000,5900000,0,3.6153846153846154,33700000,1.0243161094224924,0.5531914893617021
900000,2300000,16,545,100000,200000,2700000,800000,1,2.5555555555555554,3800000,1.6521739130434783,6.260869565217392
800000,3200000,8,317,300000,1000000,2000000,900000,1,4.0,4200000,1.3125,2.0
8500000,32900000,10,570,5100000,6200000,20500000,5500000,0,3.8705882352941177,37300000,1.1337386018237081,2.5835866261398177
9000000,18700000,18,865,26800000,0,20900000,11300000,0,2.077777777777778,59000000,3.1550802139037435,8.663101604278076
7000000,19500000,14,719,12200000,10300000,18200000,10200000,0,2.7857142857142856,50900000,2.6102564102564103,5.0256410256410255
200000,600000,16,821,400000,100000,500000,100000,0,3.0,1100000,1.8333333333333333,5.333333333333333
400000,800000,10,859,900000,500000,800000,200000,0,2.0,2400000,3.0,5.0
5100000,18200000,10,395,100000,8000000,15500000,6300000,1,3.5686274509803924,29900000,1.6428571428571428,2.802197802197802
700000,2600000,12,429,1600000,1300000,2700000,800000,1,3.7142857142857144,6400000,2.4615384615384617,3.230769230769231
400000,1200000,12,861,200000,600000,1100000,200000,0,3.0,2100000,1.75,4.0
9500000,20800000,14,565,15100000,11900000,33900000,13400000,0,2.1894736842105265,74300000,3.5721153846153846,6.394230769230769
8800000,22600000,10,357,7900000,8600000,18200000,4900000,1,2.5681818181818183,39600000,1.752212389380531,3.893805309734513
1800000,3600000,18,465,600000,500000,5400000,2600000,1,2.0,9100000,2.5277777777777777,9.0
6800000,13900000,8,479,11700000,9100000,25700000,9600000,1,2.0441176470588234,56100000,4.0359712230215825,3.9136690647482015
1500000,5500000,16,717,2100000,800000,4400000,1300000,0,3.6666666666666665,8600000,1.5636363636363637,4.363636363636363
1600000,5500000,12,425,600000,800000,5400000,900000,1,3.4375,7700000,1.4,3.490909090909091
4600000,16700000,2,786,200000,5900000,13900000,6100000,0,3.630434782608696,26100000,1.562874251497006,0.5508982035928144
2200000,6700000,6,382,4400000,1300000,8600000,1100000,1,3.0454545454545454,15400000,2.298507462686567,1.9701492537313432
2900000,8500000,12,564,1000000,3100000,7500000,1800000,0,2.9310344827586206,13400000,1.576470588235294,4.094117647058823
200000,700000,8,501,500000,200000,700000,100000,1,3.5,1500000,2.142857142857143,2.2857142857142856
2500000,9400000,10,727,6600000,4100000,9500000,3300000,0,3.76,23500000,2.5,2.6595744680851063
3600000,7500000,6,894,1100000,6500000,7400000,2800000,0,2.0833333333333335,17800000,2.3733333333333335,2.88
5500000,16700000,18,829,5500000,1300000,12800000,5900000,0,3.036363636363636,25500000,1.526946107784431,5.92814371257485
6600000,17400000,20,506,2600000,10000000,25900000,7200000,1,2.6363636363636362,45700000,2.6264367816091956,7.586206896551724
8600000,32100000,6,802,9400000,16700000,24500000,9800000,0,3.7325581395348837,60400000,1.881619937694704,1.6074766355140186
600000,1500000,14,543,300000,900000,2100000,300000,1,2.5,3600000,2.4,5.6
1400000,3200000,20,772,2400000,900000,5100000,1600000,0,2.2857142857142856,10000000,3.125,8.75
4000000,11100000,12,572,9700000,100000,12500000,2400000,0,2.775,24700000,2.225225225225225,4.324324324324325
4900000,11900000,16,709,14600000,900000,18500000,3800000,0,2.4285714285714284,37800000,3.176470588235294,6.588235294117647
2000000,6200000,18,402,4000000,2100000,7200000,1100000,1,3.1,14400000,2.3225806451612905,5.806451612903226
5200000,19300000,8,481,14300000,9500000,18800000,4200000,1,3.7115384615384617,46800000,2.4248704663212437,2.155440414507772
8900000,28800000,6,772,13600000,5500000,20400000,8400000,0,3.235955056179775,47900000,1.6631944444444444,1.8541666666666667
6500000,20600000,2,306,15900000,1900000,18100000,3200000,0,3.169230769230769,39100000,1.8980582524271845,0.6310679611650486
1300000,4500000,6,415,0,900000,2900000,1200000,1,3.4615384615384617,5000000,1.1111111111111112,1.7333333333333334
9400000,35000000,16,548,18200000,4400000,36100000,4800000,1,3.723404255319149,63500000,1.8142857142857143,4.297142857142857
5000000,11200000,8,701,9100000,500000,14000000,4600000,0,2.24,28200000,2.517857142857143,3.5714285714285716
3000000,7700000,12,890,4700000,4300000,8400000,2100000,0,2.566666666666667,19500000,2.5324675324675323,4.675324675324676
9900000,33300000,6,364,5300000,18700000,27800000,8300000,1,3.3636363636363638,60100000,1.8048048048048049,1.7837837837837838
700000,1300000,20,704,1600000,0,2200000,600000,0,1.8571428571428572,4400000,3.3846153846153846,10.76923076923077
4000000,10600000,10,318,1500000,5100000,8000000,4900000,1,2.65,19500000,1.8396226415094339,3.7735849056603774
3100000,9600000,2,761,5800000,1800000,10400000,4200000,0,3.096774193548387,22200000,2.3125,0.6458333333333334
4500000,15100000,6,693,3700000,1500000,17800000,6000000,0,3.3555555555555556,29000000,1.9205298013245033,1.7880794701986755
9700000,20600000,16,524,24200000,11100000,27400000,6100000,1,2.1237113402061856,68800000,3.3398058252427183,7.533980582524272
2000000,5300000,10,681,4900000,1400000,4300000,2900000,0,2.65,13500000,2.547169811320755,3.7735849056603774
8100000,22300000,18,737,22300000,12600000,27000000,7300000,0,2.753086419753086,69200000,3.103139013452915,6.538116591928251
5700000,15900000,16,638,100000,9500000,16300000,4500000,0,2.789473684210526,30400000,1.9119496855345912,5.735849056603773
5800000,12800000,2,656,500000,5000000,16000000,2800000,0,2.206896551724138,24300000,1.8984375,0.90625
1800000,6500000,6,540,2500000,3200000,5000000,1100000,1,3.611111111111111,11800000,1.8153846153846154,1.6615384615384616
9100000,35200000,6,341,1000000,300000,23100000,8200000,1,3.868131868131868,32600000,0.9261363636363636,1.5511363636363635
4800000,17500000,2,371,11700000,6800000,18700000,3500000,0,3.6458333333333335,40700000,2.3257142857142856,0.5485714285714286
3800000,10500000,12,886,4000000,500000,14900000,2300000,0,2.763157894736842,21700000,2.066666666666667,4.3428571428571425
1900000,4100000,18,801,400000,800000,4800000,1200000,0,2.1578947368421053,7200000,1.7560975609756098,8.341463414634147
3600000,9500000,16,748,7700000,2400000,9700000,2600000,0,2.638888888888889,22400000,2.357894736842105,6.063157894736842
7400000,28200000,8,376,21900000,5000000,17400000,5200000,1,3.810810810810811,49500000,1.7553191489361701,2.099290780141844
6600000,14300000,8,371,10800000,9500000,18500000,7400000,1,2.1666666666666665,46200000,3.230769230769231,3.6923076923076925
1800000,5300000,6,826,4500000,700000,6500000,1300000,0,2.9444444444444446,13000000,2.452830188679245,2.0377358490566038
9200000,27200000,12,873,4500000,1800000,33800000,11400000,0,2.9565217391304346,51500000,1.8933823529411764,4.058823529411765
2400000,8600000,8,309,500000,600000,5700000,2800000,1,3.5833333333333335,9600000,1.1162790697674418,2.2325581395348837
5600000,13300000,20,869,3300000,7500000,20000000,6500000,0,2.375,37300000,2.8045112781954886,8.421052631578947
3800000,13900000,12,534,4700000,2900000,8200000,2800000,1,3.6578947368421053,18600000,1.3381294964028776,3.2805755395683454
4500000,17900000,6,787,9800000,3600000,14300000,4200000,0,3.977777777777778,31900000,1.782122905027933,1.5083798882681563
900000,2200000,16,566,100000,700000,2000000,600000,0,2.4444444444444446,3400000,1.5454545454545454,6.545454545454546
2800000,9900000,8,742,4900000,1300000,6700000,1700000,0,3.5357142857142856,14600000,1.4747474747474747,2.2626262626262625
7500000,23100000,4,824,12100000,10900000,26300000,9500000,0,3.08,58800000,2.5454545454545454,1.2987012987012987
1400000,3100000,14,575,3000000,2100000,4900000,1400000,0,2.2142857142857144,11400000,3.6774193548387095,6.322580645161291
3800000,10900000,10,766,1900000,3900000,8600000,3000000,0,2.8684210526315788,17400000,1.5963302752293578,3.4862385321100917
1700000,5000000,10,888,2900000,900000,4100000,2200000,0,2.9411764705882355,10100000,2.02,3.4
9000000,30400000,6,638,16800000,11000000,26900000,9200000,0,3.3777777777777778,63900000,2.101973684210526,1.776315789473684
7300000,23300000,6,622,7100000,11600000,26400000,10500000,0,3.191780821917808,55600000,2.3862660944206007,1.8798283261802575
7400000,19800000,18,458,12600000,6200000,27700000,4000000,1,2.675675675675676,50500000,2.5505050505050506,6.7272727272727275
9000000,28200000,16,327,1700000,2300000,24000000,11200000,1,3.1333333333333333,39200000,1.3900709219858156,5.1063829787234045
3000000,6500000,2,612,8800000,3400000,6700000,1700000,0,2.1666666666666665,20600000,3.169230769230769,0.9230769230769231
800000,2900000,8,682,2200000,1100000,2900000,700000,0,3.625,6900000,2.3793103448275863,2.206896551724138
4800000,13200000,2,583,13700000,5800000,9500000,5200000,0,2.75,34200000,2.590909090909091,0.7272727272727273
6400000,18300000,8,697,10000000,3600000,22500000,3600000,0,2.859375,39700000,2.169398907103825,2.797814207650273
9200000,27100000,12,306,5800000,11500000,28000000,9600000,1,2.9456521739130435,54900000,2.025830258302583,4.07380073800738
400000,1500000,2,669,-100000,600000,900000,500000,0,3.75,1900000,1.2666666666666666,0.5333333333333333
2800000,6000000,18,816,6300000,4200000,8000000,3400000,0,2.142857142857143,21900000,3.65,8.4
8500000,28900000,20,455,15200000,5800000,22500000,9400000,1,3.4,52900000,1.8304498269896194,5.882352941176471
4700000,16400000,10,318,11400000,8100000,16200000,4300000,1,3.4893617021276597,40000000,2.4390243902439024,2.8658536585365852
9800000,21200000,20,355,22000000,8900000,31800000,14400000,1,2.163265306122449,77100000,3.6367924528301887,9.245283018867925
3800000,8900000,16,389,200000,5600000,12200000,2200000,1,2.3421052631578947,20200000,2.269662921348315,6.831460674157303
500000,1500000,2,888,1500000,300000,1500000,600000,0,3.0,3900000,2.6,0.6666666666666666
6900000,15600000,6,352,13000000,5300000,22600000,10000000,1,2.260869565217391,50900000,3.2628205128205128,2.6538461538461537
9600000,30100000,12,870,300000,6700000,38200000,5600000,0,3.1354166666666665,50800000,1.6877076411960132,3.8272425249169433
2900000,6500000,18,827,8300000,600000,10400000,3200000,0,2.2413793103448274,22500000,3.4615384615384617,8.03076923076923
9800000,20900000,12,768,3400000,10200000,38600000,13400000,0,2.13265306122449,65600000,3.138755980861244,5.626794258373206
7100000,15400000,18,707,10300000,10800000,19600000,5800000,0,2.1690140845070425,46500000,3.0194805194805197,8.2987012987013
7700000,19100000,10,355,11300000,4900000,21900000,6600000,1,2.4805194805194803,44700000,2.3403141361256545,4.031413612565445
1400000,3300000,2,652,100000,2100000,3500000,1900000,0,2.357142857142857,7600000,2.303030303030303,0.8484848484848485
7800000,15900000,2,665,14400000,900000,27200000,5400000,0,2.0384615384615383,47900000,3.0125786163522013,0.9811320754716981
1700000,6000000,18,420,500000,1600000,3700000,2300000,1,3.5294117647058822,8100000,1.35,5.1000000000000005
8500000,32700000,18,471,12600000,9400000,33900000,12500000,1,3.847058823529412,68400000,2.091743119266055,4.678899082568807
1900000,7500000,20,715,5100000,2800000,6500000,2800000,0,3.9473684210526314,17200000,2.2933333333333334,5.066666666666666
6700000,15200000,10,689,0,8200000,15000000,6800000,0,2.2686567164179103,30000000,1.9736842105263157,4.407894736842105
6900000,16400000,4,787,11100000,6100000,26400000,3800000,0,2.3768115942028984,47400000,2.8902439024390243,1.6829268292682926
2600000,7800000,4,819,3100000,4300000,5700000,1500000,0,3.0,14600000,1.8717948717948718,1.3333333333333333
9600000,21100000,6,809,16100000,9500000,34700000,8700000,0,2.1979166666666665,69000000,3.2701421800947865,2.7298578199052135
6800000,17000000,2,744,15500000,3900000,23700000,3500000,0,2.5,46600000,2.7411764705882353,0.8
3200000,11300000,6,484,3500000,5500000,8500000,2100000,1,3.53125,19600000,1.7345132743362832,1.6991150442477876
2900000,10400000,6,673,5100000,1700000,10600000,1700000,0,3.586206896551724,19100000,1.8365384615384615,1.6730769230769231
7900000,21200000,18,695,13800000,10600000,21800000,4900000,0,2.6835443037974684,51100000,2.410377358490566,6.7075471698113205
3900000,12400000,12,473,6400000,4700000,13100000,3800000,1,3.1794871794871793,28000000,2.2580645161290325,3.7741935483870965
4600000,11000000,2,491,9000000,4000000,16100000,3500000,1,2.391304347826087,32600000,2.963636363636364,0.8363636363636363
700000,1700000,8,733,1200000,800000,2400000,500000,0,2.4285714285714284,4900000,2.8823529411764706,3.2941176470588234
5200000,15600000,20,434,14100000,5800000,18100000,5500000,1,3.0,43500000,2.7884615384615383,6.666666666666667
5900000,20600000,10,777,1900000,4600000,21200000,6400000,0,3.4915254237288136,34100000,1.6553398058252426,2.8640776699029127
7200000,19100000,4,774,9400000,7000000,17900000,3600000,0,2.6527777777777777,37900000,1.9842931937172774,1.5078534031413613
8700000,27000000,10,717,25500000,8600000,17500000,9100000,0,3.103448275862069,60700000,2.248148148148148,3.2222222222222223
1100000,3500000,12,503,3000000,400000,2200000,1200000,1,3.1818181818181817,6800000,1.9428571428571428,3.7714285714285714
4000000,10900000,14,598,3600000,6600000,13600000,4400000,0,2.725,28200000,2.5871559633027523,5.137614678899083
9800000,32400000,2,543,24200000,17500000,25700000,7700000,0,3.306122448979592,75100000,2.317901234567901,0.6049382716049383
2700000,6800000,20,796,700000,4200000,7000000,1900000,0,2.5185185185185186,13800000,2.0294117647058822,7.9411764705882355
8800000,34600000,8,386,14800000,16500000,18400000,6000000,1,3.9318181818181817,55700000,1.6098265895953756,2.0346820809248554
3300000,7800000,16,632,8500000,500000,7100000,4900000,0,2.3636363636363638,21000000,2.6923076923076925,6.769230769230769
6900000,23400000,4,481,18700000,1100000,23400000,10200000,0,3.391304347826087,53400000,2.282051282051282,1.1794871794871795
900000,3500000,4,770,700000,0,2000000,600000,1,3.888888888888889,3300000,0.9428571428571428,1.0285714285714285
4100000,15500000,6,667,2800000,1600000,14700000,4000000,0,3.7804878048780486,23100000,1.4903225806451612,1.5870967741935482
4700000,17500000,8,585,1200000,3100000,9600000,4900000,0,3.723404255319149,18800000,1.0742857142857143,2.1485714285714286
3400000,11600000,16,479,9200000,5700000,11200000,2400000,1,3.411764705882353,28500000,2.456896551724138,4.689655172413793
9600000,22500000,18,851,7400000,16200000,24300000,12700000,0,2.34375,60600000,2.6933333333333334,7.68
7000000,16200000,6,378,20000000,12600000,20300000,5500000,1,2.3142857142857145,58400000,3.6049382716049383,2.5925925925925926
